RepRapFirmware height map file v2 generated at 2021-12-05 20:11, min error -0.238, max error 0.007, mean -0.123, deviation 0.055
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,20.00,295.00,20.00,315.00,-1.00,27.50,29.50,11,11
 -0.153, -0.158, -0.148, -0.143, -0.138, -0.128, -0.118, -0.128, -0.128, -0.128, -0.133
 -0.168, -0.178, -0.178, -0.158, -0.138, -0.128, -0.128, -0.138, -0.148, -0.158, -0.158
 -0.178, -0.168, -0.168, -0.138, -0.118, -0.098, -0.098, -0.108, -0.128, -0.148, -0.163
 -0.188, -0.168, -0.138, -0.098, -0.077, -0.067, -0.067, -0.087, -0.118, -0.138, -0.158
 -0.153, -0.128, -0.098, -0.062, -0.038, -0.018, -0.018, -0.038, -0.077, -0.108, -0.138
 -0.138, -0.108, -0.077, -0.048, -0.028, -0.018, -0.008, -0.038, -0.067, -0.108, -0.128
 -0.118, -0.087, -0.062, -0.038, -0.018,  0.007,  0.002, -0.018, -0.058, -0.098, -0.138
 -0.153, -0.133, -0.108, -0.077, -0.058, -0.038, -0.038, -0.067, -0.098, -0.133, -0.168
 -0.168, -0.148, -0.128, -0.108, -0.087, -0.077, -0.067, -0.098, -0.128, -0.158, -0.197
 -0.217, -0.207, -0.178, -0.168, -0.158, -0.148, -0.148, -0.158, -0.178, -0.197, -0.238
 -0.228, -0.207, -0.188, -0.192, -0.197, -0.192, -0.178, -0.183, -0.173, -0.197, -0.238
