RepRapFirmware height map file v2 generated at 2021-12-05 20:41, min error -0.178, max error 0.022, mean -0.093, deviation 0.049
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,20.00,295.00,20.00,315.00,-1.00,27.50,29.50,11,11
 -0.148, -0.153, -0.148, -0.138, -0.128, -0.118, -0.098, -0.108, -0.108, -0.118, -0.113
 -0.148, -0.168, -0.163, -0.138, -0.128, -0.108, -0.108, -0.118, -0.128, -0.143, -0.148
 -0.178, -0.158, -0.148, -0.128, -0.098, -0.087, -0.077, -0.098, -0.108, -0.128, -0.138
 -0.158, -0.138, -0.108, -0.087, -0.067, -0.058, -0.048, -0.067, -0.098, -0.118, -0.133
 -0.118, -0.098, -0.072, -0.048, -0.028, -0.013, -0.008, -0.018, -0.053, -0.077, -0.108
 -0.098, -0.077, -0.058, -0.038, -0.008,  0.002,  0.012, -0.008, -0.033, -0.067, -0.098
 -0.087, -0.067, -0.038, -0.018,  0.002,  0.022,  0.022,  0.002, -0.028, -0.062, -0.098
 -0.098, -0.082, -0.058, -0.043, -0.028, -0.018, -0.008, -0.038, -0.058, -0.098, -0.128
 -0.113, -0.098, -0.077, -0.067, -0.058, -0.043, -0.038, -0.058, -0.087, -0.118, -0.148
 -0.158, -0.143, -0.128, -0.108, -0.108, -0.108, -0.108, -0.118, -0.138, -0.153, -0.178
 -0.148, -0.148, -0.138, -0.128, -0.128, -0.128, -0.128, -0.128, -0.128, -0.148, -0.168
