RepRapFirmware height map file v2 generated at 2021-12-05 20:52, min error -0.168, max error 0.033, mean -0.079, deviation 0.048
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,20.00,295.00,20.00,315.00,-1.00,27.50,29.50,11,11
 -0.138, -0.138, -0.138, -0.123, -0.108, -0.098, -0.087, -0.098, -0.098, -0.098, -0.098
 -0.128, -0.143, -0.148, -0.128, -0.108, -0.098, -0.098, -0.108, -0.118, -0.128, -0.138
 -0.158, -0.148, -0.128, -0.108, -0.087, -0.067, -0.067, -0.082, -0.098, -0.108, -0.128
 -0.148, -0.128, -0.108, -0.077, -0.058, -0.048, -0.048, -0.058, -0.087, -0.108, -0.128
 -0.113, -0.087, -0.067, -0.038, -0.018,  0.002,  0.002, -0.008, -0.038, -0.067, -0.098
 -0.087, -0.067, -0.038, -0.018,  0.007,  0.022,  0.022,  0.007, -0.028, -0.058, -0.087
 -0.072, -0.053, -0.028, -0.008,  0.012,  0.033,  0.033,  0.012, -0.008, -0.048, -0.087
 -0.087, -0.072, -0.048, -0.028, -0.018,  0.002,  0.002, -0.018, -0.048, -0.077, -0.118
 -0.108, -0.087, -0.067, -0.048, -0.038, -0.033, -0.018, -0.048, -0.067, -0.098, -0.133
 -0.148, -0.133, -0.108, -0.098, -0.087, -0.087, -0.077, -0.098, -0.118, -0.138, -0.168
 -0.138, -0.128, -0.113, -0.113, -0.113, -0.113, -0.103, -0.108, -0.103, -0.128, -0.158
